city,state,latitude,longitude,dup
Warrego, NT,-20.23, 137.760,FALSE
Wollogorang Station, NT,-20.23, 137.760,FALSE
Wycliffe Well, NT,-20.23, 137.760,FALSE
Alice Springs, NT,-12.44, 130.840,FALSE
Araluen, NT,-12.44, 130.840,FALSE
Arumbera, NT,-12.44, 130.840,FALSE
Braitling, NT,-12.44, 130.840,FALSE
Ciccone, NT,-12.44, 130.840,FALSE
Connellan, NT,-12.44, 130.840,FALSE
Desert Springs, NT,-12.44, 130.840,FALSE
East Side, NT,-12.44, 130.840,FALSE
Flynn, NT,-12.44, 130.840,FALSE
Gillen, NT,-12.44, 130.840,FALSE
Ilparpa, NT,-12.44, 130.840,FALSE
Irlpme, NT,-12.44, 130.840,FALSE
Larapinta, NT,-12.44, 130.840,FALSE
Mount Johns, NT,-12.44, 130.840,FALSE
Ross, NT,-12.44, 130.840,FALSE
Sadadeen, NT,-12.44, 130.840,FALSE
Stuart, NT,-12.44, 130.840,FALSE
The Gap, NT,-12.44, 130.840,FALSE
Undoolya, NT,-12.44, 130.840,FALSE
White Gums, NT,-12.44, 130.840,FALSE
Aherrenge, NT,-21, 134.380,FALSE
Ali Curung, NT,-21, 134.380,FALSE
Amata, NT,-21, 134.380,FALSE
Amoonguna, NT,-21, 134.380,FALSE
Ampilatwatja, NT,-21, 134.380,FALSE
Anatye, NT,-21, 134.380,FALSE
Anmatjere, NT,-21, 134.380,FALSE
Antewenegerrde, NT,-21, 134.380,FALSE
Areyonga, NT,-21, 134.380,FALSE
Atitjere, NT,-21, 134.380,FALSE
Ayers Rock, NT,-21, 134.380,FALSE
Barrow Creek, NT,-21, 134.380,FALSE
Burt Plain, NT,-21, 134.380,FALSE
Canteen Creek, NT,-21, 134.380,FALSE
Chilla Well, NT,-21, 134.380,FALSE
Costello, NT,-21, 134.380,FALSE
Davenport, NT,-21, 134.380,FALSE
Docker River, NT,-21, 134.380,FALSE
Engawala, NT,-21, 134.380,FALSE
Erldunda, NT,-21, 134.380,FALSE
Ernabella, SA,-21, 134.380,FALSE
Finke, NT,-21, 134.380,FALSE
Fregon, SA,-21, 134.380,FALSE
Ghan, NT,-21, 134.380,FALSE
Gibson Desert North, WA,-21, 134.380,FALSE
Gibson Desert South, WA,-21, 134.380,FALSE
Haasts Bluff, NT,-21, 134.380,FALSE
Hale, NT,-21, 134.380,FALSE
Hart, NT,-21, 134.380,FALSE
Hart Range, NT,-21, 134.380,FALSE
Hermannsburg, NT,-21, 134.380,FALSE
Hugh, NT,-21, 134.380,FALSE
Imanpa, NT,-21, 134.380,FALSE
Indulkana, SA,-21, 134.380,FALSE
Ininti Store, NT,-21, 134.380,FALSE
Jay Creek, NT,-21, 134.380,FALSE
